Title,Author,Source,Persona,Date_Collected,Trend_Reason,Genre Tag(s),Series,Publisher,First_Publish_Year,Page_Count,Adaptation,Diversity_Rep,Content_Warnings,Description,Notes,,,,"why trending? New release, adaptation buzz, politics, author controversy? ",,,,,Publisher,First Publish Year,Subject Tags,Is_Series,Adaptation,Pacing,Diverrsity Representation,Content Warnings,,,,,
The Apple Tree,Jewel E. Ann,BookTok January 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redeeming 6,Chloe Walsh,BookTok January 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Great Alone,Kristin Hannah,BookTok January 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Love Can Hurt Like This,Paige Toon,BookTok January 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hunger Games,Suzanne Collins,BookTok January 2025,,,,,,,,,,,,,entire series re-read - prep for Haymitch's story,,,,,,,,,,,,,,,,,,,,,
Belladonna,Adalyn Grace,BookTok January 2025,,,,,,,,,,,,,series,,,,,,,,,,,,,,,,,,,,,
Credence,Penelope Douglas,BookTok January 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quicksilver,Callie Hart,BookTok January 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Gods and Monsters,Kayla Edwards,BookTok January 2025,,,,,,,,,,,,,series,,,,,,,,,,,,,,,,,,,,,
The Three Lives of Cate Kay,Kate Fagan,BookTok January 2025,,,,,,,,,,,,,Reese's Book Club pick ,,,,,,,,,,,,,,,,,,,,,
The Anxious Generation,Jonathon Haidt,BookTok January 2025,,,,,,,,,,,,,public library most requested,,,,,,,,,,,,,,,,,,,,,
The Frozen River,Ariel Lawhon,BookTok January 2025,,,,,,,,,,,,,public library most requested,,,,,,,,,,,,,,,,,,,,,
All the Colors of the Dark,Chris Whitaker,BookTok January 2025,,,,,,,,,,,,,public library most requested,,,,,,,,,,,,,,,,,,,,,
The Women ,Kristin Hannah,BookTok January 2025,,,,,,,,,,,,,public library most requested,,,,,,,,,,,,,,,,,,,,,
James,Percival Everett,BookTok January 2025,,,,,,,,,,,,,public library most requested,,,,,,,,,,,,,,,,,,,,,
The God of the Woods,Liz Moore,BookTok January 2025,,,,,,,,,,,,,public library most requested,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,des moines public library - most requested books by month on their tik tok account,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LegendBorn,Tracy Deonn,February BookTok 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady of Darkness series,Melissa K Roerich,February BookTok 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep End,Ali Hazelwood,February BookTok 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hurricane Wars,Thea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fireborne,Rosaria Munda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plated Prisoner Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amid Cloud and Bones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
